Artikel	Lager	Bolag	Nollinventering	"Hantera saldo"	Timestamp	Klassificering	Skapad	Plockzon	"Vikt tolerans"	"Zon klass"	"Tillåt uppdrag"	"Ignorera EAN"	"Splitta helpalls gen. med"	"Automatiserat robotplock"	"Ej staplingsbar"	"Alltid farligt gods"	"Helpalls avvikelse %"
1005026	404	GG	Y	Y	"2024-10-04 00:15:57"	G					Y	False	0	False	N		
1005027	404	GG	Y	Y	"2024-10-04 00:13:48"	G					Y	False	0	False	N		
1005030	404	GG	Y	Y	"2024-10-04 00:13:49"	G					Y	False	0	False	N		
1005031	404	GG	Y	Y	"2024-10-04 00:14:58"	G					Y	False	0	False	N		
1005047	404	GG	Y	Y	"2024-10-04 00:09:46"	G					Y	False	0	False	N		
1005048	404	GG	Y	Y	"2024-10-04 00:13:16"	G					Y	False	0	False	N		
1005065	404	GG	Y	Y	"2024-10-04 00:11:48"	G					Y	False	0	False	N		
1005072	404	GG	Y	Y	"2024-10-04 00:15:27"	G					Y	False	0	False	N		
10051	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10052	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10053	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10054	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10055	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10056	404	GG	Y	N	"2025-06-17 15:51:30"						Y	False	0	False	N		
10057	JKP	MG	Y	N	"2025-06-18 15:19:21"						Y	False	0	False	N		
10058	JKP	MG	Y	N	"2025-07-01 13:18:26"						Y	False	0	False	N		
1006660	404	GG	Y	Y	"2024-10-04 00:14:06"	H					Y	False	0	False	N		
1007552	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1007553	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1007554	404	GG	Y	Y	"2024-10-04 00:11:18"	G					Y	False	0	False	N		
1007555	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1007556	404	GG	Y	Y	"2024-10-04 00:11:18"	G					Y	False	0	False	N		
1007557	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1007558	404	GG	Y	Y	"2024-10-04 00:11:18"	G					Y	False	0	False	N		
1007559	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1007560	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1007561	404	GG	Y	Y	"2024-10-04 00:11:17"	G					Y	False	0	False	N		
1008917	404	GG	Y	Y	"2024-10-04 00:14:59"	G					Y	False	0	False	N		
1008918	404	GG	Y	Y	"2024-10-04 00:11:42"	G					Y	False	0	False	N		
1008919	404	GG	Y	Y	"2024-10-04 00:15:28"	G					Y	False	0	False	N		
1008920	404	GG	Y	Y	"2024-10-04 00:15:59"	G					Y	False	0	False	N		
1008921	404	GG	Y	Y	"2024-10-04 00:16:42"	G					Y	False	0	False	N		
1008922	404	GG	Y	Y	"2024-10-04 00:11:50"	G					Y	False	0	False	N		
1008923	404	GG	Y	Y	"2024-10-04 00:13:30"	G					Y	False	0	False	N		
1008924	404	GG	Y	Y	"2024-10-04 00:14:26"	G					Y	False	0	False	N		
1008925	404	GG	Y	Y	"2024-10-04 00:13:49"	G					Y	False	0	False	N		
1008926	404	GG	Y	Y	"2024-10-04 00:16:05"	G					Y	False	0	False	N		
1008927	404	GG	Y	Y	"2024-10-04 00:12:16"	G					Y	False	0	False	N		
1008928	404	GG	Y	Y	"2024-10-03 10:21:28"	G					Y	False	0	False	N		
1008957	404	GG	Y	Y	"2024-10-04 00:09:55"	G					Y	False	0	False	N		
1008958	404	GG	Y	Y	"2024-10-04 00:14:29"	G					Y	False	0	False	N		
1008959	404	GG	Y	Y	"2024-10-04 00:16:41"	G					Y	False	0	False	N		
1008960	404	GG	Y	Y	"2024-10-04 00:16:03"	G					Y	False	0	False	N		
1008961	404	GG	Y	Y	"2024-10-04 00:14:07"	G					Y	False	0	False	N		
1008962	404	GG	Y	Y	"2024-10-04 00:11:42"	G					Y	False	0	False	N		
1008963	404	GG	Y	Y	"2024-10-04 00:14:06"	G					Y	False	0	False	N		
1008964	404	GG	Y	Y	"2024-10-04 00:14:26"	G					Y	False	0	False	N		
1008965	404	GG	Y	Y	"2024-10-04 00:15:59"	G					Y	False	0	False	N		
1009165	404	GG	Y	Y	"2024-10-03 13:08:39"	G					Y	False	0	False	N		
1009251	404	GG	Y	Y	"2024-10-04 00:16:02"	G					Y	False	0	False	N		
1009257	404	GG	Y	Y	"2024-10-04 00:11:32"	G					Y	False	0	False	N		
1009260	404	GG	Y	Y	"2024-10-04 00:12:27"	G					Y	False	0	False	N		
1009834	404	GG	Y	Y	"2024-10-04 00:14:59"	F					Y	False	0	False	N		
1009863	404	GG	Y	Y	"2024-10-04 00:16:01"	F					Y	False	0	False	N		
1009867	404	GG	Y	Y	"2024-10-04 00:12:59"	F					Y	False	0	False	N		
1009968	404	GG	Y	Y	"2024-10-04 00:15:27"	H					Y	False	0	False	N		
1009969	404	GG	Y	Y	"2024-10-04 00:16:43"	H					Y	False	0	False	N		
1009973	404	GG	Y	Y	"2024-10-04 00:11:36"	H					Y	False	0	False	N		
1010098	404	GG	Y	Y	"2024-10-04 00:15:22"	F					Y	False	0	False	N		
1010102	404	GG	Y	Y	"2024-10-04 00:10:21"	F					Y	False	0	False	N		
1010106	404	GG	Y	Y	"2024-10-04 00:12:04"	F					Y	False	0	False	N		
1010109	404	GG	Y	Y	"2024-10-04 00:08:51"	F					Y	False	0	False	N		
