Lagerplats	Typ	Detalj	Clearing	X-koordinat	Y-koordinat	Timestamp	Multi	Sekvens	Checksiffra	"Visa saldo"	Påfyllning	"Max pall"	"Påfyllnings offset"	"Auto plac"	Klassificering	"Farligt gods"	Dimension
LS31011	P	G		0	0	"2024-12-19 08:05:35"	N	0	970	N	Y	1	4				
LS31012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	483	N	Y	1	4				
LS31012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	231	N	Y	1	4				
LS31013	B	H		0	0	"2024-12-19 08:30:17"	N	0	918	N	N	1	4				
LS31014	B	H		0	0	"2024-12-19 08:30:17"	N	0	470	N	N	1	4				
LS31015	B	H		0	0	"2024-12-19 08:30:17"	N	0	485	N	N	1	4				
LS31016	B	H		0	0	"2024-12-19 08:30:17"	N	0	913	N	N	1	4				
LS31021	P	G		0	0	"2024-12-19 08:05:35"	N	0	895	N	Y	1	4				
LS31022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	356	N	Y	1	4				
LS31022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	169	N	Y	1	4				
LS31023	B	H		0	0	"2024-12-19 08:30:17"	N	0	964	N	N	1	4				
LS31024	B	H		0	0	"2024-12-19 08:30:17"	N	0	215	N	N	1	4				
LS31025	B	H		0	0	"2024-12-19 08:30:17"	N	0	72	N	N	1	4				
LS31026	B	H		0	0	"2024-12-19 08:30:17"	N	0	788	N	N	1	4				
LS31031	P	G		0	0	"2024-12-19 08:05:35"	N	0	738	N	Y	1	4				
LS31032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	664	N	Y	1	4				
LS31032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	34	N	Y	1	4				
LS31033	B	H		0	0	"2024-12-19 08:30:17"	N	0	902	N	N	1	4				
LS31034	B	H		0	0	"2024-12-19 08:30:17"	N	0	272	N	N	1	4				
LS31035	B	H		0	0	"2024-12-19 08:30:17"	N	0	203	N	N	1	4				
LS31036	B	H		0	0	"2024-12-19 08:30:17"	N	0	867	N	N	1	4				
LS32011	P	G		0	0	"2024-12-19 08:05:35"	N	0	914	N	Y	1	4				
LS32012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	608	N	Y	1	4				
LS32012B	P	H		0	0	"2024-12-19 08:05:35"	N	0	6	N	Y	1	4				
LS32013	B	H		0	0	"2024-12-19 08:30:17"	N	0	664	N	N	1	4				
LS32014	B	H		0	0	"2024-12-19 08:30:17"	N	0	794	N	N	1	4				
LS32015	B	H		0	0	"2024-12-19 08:30:17"	N	0	683	N	N	1	4				
LS32016	B	H		0	0	"2024-12-19 08:30:17"	N	0	59	N	N	1	4				
LS32021	P	G		0	0	"2024-12-19 08:05:35"	N	0	963	N	Y	1	4				
LS32022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	472	N	Y	1	4				
LS32022B	P	H		0	0	"2024-12-19 08:05:35"	N	0	246	N	Y	1	4				
LS32023	B	H		0	0	"2024-12-19 08:30:17"	N	0	236	N	N	1	4				
LS32024	B	H		0	0	"2024-12-19 08:30:17"	N	0	166	N	N	1	4				
LS32025	B	H		0	0	"2024-12-19 08:30:17"	N	0	680	N	N	1	4				
LS32026	B	H		0	0	"2024-12-19 08:30:17"	N	0	492	N	N	1	4				
LS32031	P	G		0	0	"2024-12-19 08:05:35"	N	0	801	N	Y	1	4				
LS32032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	414	N	Y	1	4				
LS32032B	P	H		0	0	"2024-12-19 08:05:35"	N	0	110	N	Y	1	4				
LS32033	B	H		0	0	"2024-12-19 08:30:17"	N	0	550	N	N	1	4				
LS32034	B	H		0	0	"2024-12-19 08:30:17"	N	0	4	N	N	1	4				
LS32035	B	H		0	0	"2024-12-19 08:30:17"	N	0	614	N	N	1	4				
LS32036	B	H		0	0	"2024-12-19 08:30:17"	N	0	937	N	N	1	4				
LS33014	B	H		0	0	"2024-12-19 08:30:17"	N	0	987	N	N	1	4				
LS33015	B	H		0	0	"2024-12-19 08:30:17"	N	0	688	N	N	1	4				
LS33016	B	H		0	0	"2024-12-19 08:30:17"	N	0	906	N	N	1	4				
LS33024	B	H		0	0	"2024-12-19 08:30:17"	N	0	517	N	N	1	4				
LS33025	B	H		0	0	"2024-12-19 08:30:17"	N	0	375	N	N	1	4				
LS33026	B	H		0	0	"2024-12-19 08:30:17"	N	0	126	N	N	1	4				
LS33034	B	H		0	0	"2024-12-19 08:30:17"	N	0	984	N	N	1	4				
