"Dimension Id"	Beskrivning	Längd	Bredd	Höjd
101156		34	19	10
101157		7	6	6
101158		52	20	18
101159		75	55	"13,5"
101160		60	30	28
101161		55	30	3
101162		2	11	11
101163		24	10	"1,5"
101164		53	29	35
101165		12	"32,5"	20
101166		4	16	11
101167		6	6	22
101168		48	32	18
101169		49	33	40
101170		25	13	"3,5"
101171		90	38	1
101172		92	"19,5"	41
101173		"23,3"	17	"11,6"
101174		7	"8,5"	"18,5"
101175		27	27	9
101176		"173,5"	"64,6"	"4,2"
101177		9	9	4
101178		20	28	35
101179		"2,6"	7	"22,5"
101180		"12,1"	"12,1"	"16,5"
101181		47	37	24
101182		20	8	32
101183		19	30	21
101184		37	28	"2,5"
101185		10	7	"2,5"
101186		49	48	35
101187		"30,5"	20	"11,5"
101188		"52,5"	34	22
101189		"1,5"	8	15
101190		40	"6,5"	"33,5"
101191		"10,1"	"29,2"	"41,9"
101192		44	48	41
101193		58	44	18
101194		13	"10,5"	"2,1"
101195		100	80	5
101196		13	13	28
101197		"61,5"	40	22
101198		62	41	46
101199		1	10	15
101200		30	21	17
101201		32	23	19
101202		"26,5"	10	"2,5"
101203		61	"40,6"	"29,2"
101204		"9,5"	"8,9"	"24,5"
101205		64	40	40
101206		"13,8"	"13,8"	16
101207		9	18	"103,5"
101208		"39,6"	"24,1"	"28,1"
101209		"4,5"	"17,5"	37
101210		120	10	6
101211		19	"15,5"	23
101212		"13,7"	"9,3"	"5,5"
101213		76	38	14
101214		77	39	53
101215		35	30	"2,5"
101216		30	"19,8"	"15,2"
101217		34	11	5
101218		"19,7"	"18,4"	"8,3"
101219		35	30	15
101220		"1,5"	18	28
101221		26	12	4
101222		"10,1"	"22,8"	"30,4"
101223		"5,5"	"12,5"	"20,8"
101224		"11,8"	"19,5"	19
101225		18	12	1
101226		135	35	35
101227		15	8	"23,5"
101228		"25,5"	"15,5"	"24,5"
101229		8	23	7
101230		"28,1"	"22,6"	"18,9"
101231		"24,3"	16	"4,5"
101232		12	12	6
101233		"118,5"	21	6
101234		3	7	13
101235		7	7	20
101236		30	11	32
101237		100	25	70
101238		"2,6"	"12,5"	"23,3"
101239		"11,4"	"7,4"	"0,5"
101240		"15,4"	"1,9"	"21,4"
101241		60	33	1
101242		"61,5"	19	"36,5"
101243		1	"1,5"	40
101244		"9,5"	"6,8"	"5,5"
101245		36	12	36
101246		61	49	33
101247		24	12	"43,5"
101248		"6,3"	"10,8"	"28,5"
101249		45	"44,5"	"31,5"
101250		9	6	"5,5"
101251		52	36	6
101252		50	31	31
101253		23	23	21
101254		80	67	67
101255		"44,8"	"24,9"	"18,8"
101256		"39,5"	"11,7"	"8,6"
101257		"19,7"	12	33
101258		"13,4"	"13,4"	"8,2"
101259		9	"6,5"	"3,5"
101260		"37,6"	"13,4"	"8,2"
101261		6	22	6
101262		"17,5"	10	"0,5"
101263		5	8	20
101264		64	14	"5,5"
101265		18	18	13
101266		28	15	15
101267		2	"7,2"	"19,5"
101268		96	9	6
101269		45	45	33
101270		55	30	10
101271		100	3	3
101272		60	2	2
101273		130	40	15
101274		110	25	"0,8"
101275		"6,3"	"5,7"	"17,5"
101276		52	8	39
101277		26	9	2
101278		"9,4"	"9,4"	"17,2"
101279		"2,5"	24	"10,5"
101280		21	9	7
101281		5	5	20
101282		"4,6"	40	40
101283		"18,4"	"10,8"	"1,8"
101284		"33,5"	"20,9"	"21,5"
101285		"37,5"	22	16
101286		"62,8"	9	"0,4"
101287		21	20	17
101288		90	"1,1"	"1,1"
101289		6	6	20
101290		21	13	2
101291		20	"6,5"	"6,5"
101292		17	8	8
101293		22	22	30
101294		43	64	62
101295		27	27	"22,1"
101296		39	25	31
101297		3	24	31
101298		"1,2"	"7,4"	"23,5"
101299		16	"7,8"	24
101300		60	60	25
101301		14	10	1
101302		81	48	8
101303		100	23	80
101304		54	38	"1,5"
101305		57	40	32
101306		2	30	40
101307		25	40	60
101308		"12,5"	"12,5"	13
101309		35	35	40
101310		54	34	"1,52"
101311		13	13	3
101312		23	9	2
101313		21	34	60
101314		5	33	47
101315		78	35	67
101316		"34,5"	"31,5"	"7,5"
101317		28	49	44
101318		15	15	16
101319		5	30	80
101320		"77,5"	"23,5"	"4,6"
101321		"0,1"	6	29
101322		2	35	35
101323		35	25	4
101324		22	17	2
101325		4	"2,1"	"6,4"
101326		3	12	21
101327		29	19	"10,5"
101328		33	7	6
101329		7	29	40
101330		45	38	61
101331		35	27	1
101332		21	21	17
101333		5	25	30
101334		33	7	11
101335		13	7	2
101336		11	"2,5"	17
101337		"0,5"	"10,2"	"10,8"
101338		5	"10,2"	"10,8"
101339		395	48	"10,7"
101340		11	2	"14,5"
101341		14	1	"1,5"
101342		17	17	16
101343		14	10	"2,5"
101344		"0,1"	25	6
101345		6	"25,5"	2
101346		19	8	3
101347		"1,3"	"0,3"	"0,82"
101348		63	"21,5"	3
101349		3	21	"12,5"
101350		31	26	3
101351		60	40	30
101352		46	35	8
101353		"0,2"	"9,4"	"14,5"
101354		6	14	"13,5"
101355		39	39	7
101356		"0,5"	6	10
101357		4	10	55
101358		33	25	12
101359		19	19	10
101360		10	10	10
101361		2	"2,5"	"18,5"
101362		82	"41,5"	"21,5"
101363		"14,5"	"14,5"	"16,5"
101364		3	"12,5"	21
101365		17	"25,5"	"1,8"
101366		20	30	60
101367		3	33	38
101368		30	39	11
101369		75	75	26
101370		"22,7"	"14,5"	"6,5"
101371		34	29	7
101372		55	55	24
101373		57	7	6
101374		12	12	"1,5"
101375		28	33	1
101376		27	14	5
101377		55	40	10
101378		37	37	29
101379		9	12	4
101380		2	"7,5"	"15,5"
101381		"11,5"	"7,8"	"15,8"
101382		11	2	"13,5"
101383		"39,9"	"29,9"	"15,2"
101384		18	18	14
101385		4	"6,5"	13
101386		19	"7,5"	3
101387		70	8	4
101388		"0,1"	"2,2"	"0,2"
101389		"30,3"	"19,8"	"9,8"
101390		"31,5"	24	9
101391		78	"35,5"	"67,5"
101392		4	"9,5"	"9,5"
101393		28	23	4
101394		25	19	"3,5"
101395		6	"23,5"	"1,6"
101396		"4,4"	39	"4,37"
101397		"5,2"	"2,5"	"12,2"
101398		8	6	5
101399		51	32	6
101400		5	12	22
101401		5	35	10
101402		"24,5"	29	40
101403		2	"7,5"	"11,4"
101404		29	8	8
101405		53	46	11
101406		"2,7"	7	31
101407		14	14	11
101408		47	37	4
101409		52	17	"3,5"
101410		50	40	"2,5"
101411		24	"13,5"	"4,5"
101412		20	10	2
101413		1	15	49
101414		13	13	"12,4"
101415		26	26	19
101416		8	8	8
101417		29	13	4
101418		45	13	34
101419		"14,5"	"14,5"	15
101420		100	"1,2"	"1,2"
101421		"0,2"	30	42
101422		"4,5"	4	12
101423		57	12	"3,6"
101424		1	11	47
101425		57	41	2
101426		3	12	28
101427		35	30	55
101428		"8,3"	"11,7"	"27,3"
101429		44	25	"27,5"
101430		77	36	3
101431		27	"9,5"	2
101432		42	30	5
101433		4	"7,5"	15
101434		43	35	"1,5"
101435		201	"85,9"	"91,5"
101436		"0,1"	30	3
101437		28	25	2
101438		"4,5"	27	29
101439		11	"28,5"	"31,5"
101440		46	11	"1,55"
101441		49	49	38
101442		28	42	6
101443		61	"27,5"	27
101444		13	12	13
101445		30	23	9
101446		"3,4"	"19,6"	"49,1"
101447		7	26	54
101448		28	"2,6"	1
101449		2	10	20
101450		"3,5"	18	"27,5"
101451		45	11	"0,4"
101452		"12,5"	"12,5"	"11,5"
101453		37	7	7
101454		5	25	45
101455		"117,4"	"47,6"	"31,7"
101456		50	"16,5"	4
101457		2	13	35
101458		41	34	15
101459		40	54	10
101460		2	30	38
101461		"12,3"	16	"12,3"
101462		27	26	17
101463		"0,5"	"9,4"	"14,5"
101464		"20,5"	"6,6"	16
101465		26	10	1
101466		36	30	48
101467		"2,5"	15	40
101468		"12,4"	"22,6"	24
101469		"22,4"	"4,9"	"4,5"
101470		86	30	10
101471		52	"9,5"	5
101472		2	"7,5"	17
101473		35	29	6
101474		52	44	13
101475		38	33	3
101476		"1,5"	"19,5"	"30,5"
101477		"50,6"	11	2
101478		"3,5"	"11,2"	"15,6"
101479		56	35	"17,4"
101480		120	80	125
101481		17	30	27
101482		6	"26,5"	"1,6"
101483		4	45	50
101484		3	18	29
101485		21	17	9
101486		5	5	10
101487		"1,2"	"7,5"	"38,5"
101488		60	40	27
101489		59	39	35
101490		"0,1"	9	38
101491		13	6	2
101492		"1,5"	32	37
101493		47	33	"0,5"
101494		100	"7,2"	11
101495		4	5	26
101496		3	3	3
101497		14	14	"1,5"
101498		40	40	53
101499		38	8	6
101500		55	50	10
101501		85	65	22
101502		200	90	120
101503		40	27	4
101504		"22,86"	"4,45"	"43,02"
101505		"33,66"	"25,4"	"28,58"
101506		5	9	"17,5"
101507		8	37	1
101508		3	20	33
101509		38	28	2
101510		60	30	30
101511		17	11	10
101512		"0,5"	"7,5"	"13,8"
101513		56	30	30
101514		"26,5"	9	"3,5"
101515		15	"2,5"	"0,2"
101516		18	20	15
101517		2	10	15
101518		12	50	50
101519		33	"4,5"	"26,5"
101520		33	17	5
101521		"8,5"	5	"3,5"
101522		7	22	1
101523		8	"29,5"	2
101524		"34,29"	"1,27"	"33,34"
101525		"41,91"	"34,29"	"27,94"
101526		6	34	44
101527		3	"8,5"	"21,5"
101528		22	"30,5"	61
101529		50	50	35
101530		14	10	2
101531		"5,5"	"5,5"	17
101532		4	"1,2"	16
101533		24	20	32
101534		"399,8"	"40,4"	"6,1"
101535		120	80	30
101536		32	26	3
101537		"20,3"	22	"15,5"
101538		16	"6,1"	"2,8"
101539		2	18	35
101540		"6,9"	17	"20,8"
101541		"12,6"	13	29
101542		23	"18,5"	32
101543		"1,5"	35	43
101544		"20,5"	"13,5"	5
101545		17	12	11
101546		40	36	60
101547		"7,2"	"6,1"	"14,1"
101548		3	20	24
101549		50	37	15
101550		23	"10,5"	29
101551		40	50	20
101552		"16,5"	"16,5"	"13,3"
101553		23	23	25
101554		"12,5"	"3,5"	20
101555		30	36	60
101556		40	30	2
101557		120	"24,6"	"21,4"
101558		3	15	5
101559		98	65	"42,5"
101560		102	72	63
101561		102	"17,5"	"28,3"
101562		1	12	19
101563		45	30	5
101564		9	19	4
101565		16	16	"12,5"
101566		30	30	"5,5"
101567		"6,2"	"6,2"	"21,6"
101568		63	30	5
101569		5	30	40
101570		30	25	10
101571		"41,91"	"41,91"	"27,94"
101572		14	"4,2"	"9,8"
101573		20	"12,5"	3
101574		67	40	2
101575		10	20	22
101576		120	95	12
101577		7	7	10
101578		"1,5"	5	"22,8"
101579		28	10	"6,5"
101580		50	50	34
101581		9	22	4
101582		10	21	4
101583		"43,5"	11	44
101584		"43,7"	"33,8"	"45,5"
101585		"3,5"	9	24
101586		2	10	26
101587		54	36	8
101588		46	40	60
101589		"59,5"	"43,5"	"18,5"
101590		2	"7,5"	"13,8"
101591		3	"20,5"	13
101592		"9,5"	"8,5"	"26,5"
101593		35	23	"13,5"
101594		2	17	100
101595		"180,7"	"13,6"	"20,4"
101596		"12,7"	3	21
101597		18	11	11
101598		"12,5"	21	3
101599		38	38	33
101600		3	9	29
101601		1	23	23
101602		"2,1"	"6,4"	"11,5"
101603		"14,5"	9	5
101604		"12,5"	11	"1,6"
101605		27	29	6
101606		12	"9,5"	"9,5"
101607		"24,5"	19	10
101608		50	11	2
101609		25	10	1
101610		"0,7"	"7,5"	"13,8"
101611		36	49	"0,8"
101612		"17,5"	23	"12,5"
101613		"41,5"	"11,2"	4
101614		"15,5"	"15,5"	13
101615		15	15	12
101616		"0,4"	10	44
101617		60	24	"8,5"
101618		48	26	5
101619		98	25	25
